label,case,dt_dir,interval,dt,r,mean_l00,mean_l01,mean_l10,mean_l11,mean_p01,mean_p10,frac_l01_lt_l00,frac_l01_neg
"mixed_r=0.5 | dt=-256 | dxyz=(128,0,0) | timelike",mixed_r=0.5,past,timelike,-256.0,128.0,0.08089897235012064,0.07423150779566066,0.07635022367385318,0.08089897235012067,0.4983345824114376,0.4988636351773165,0.55,0.51
"mixed_r=0.5 | dt=-256 | dxyz=(73.9008,73.9008,73.9008) | timelike",mixed_r=0.5,past,timelike,-256.0,128.0,-0.22148860003005005,-0.22004207158458314,-0.23481957060585493,-0.22148860003004994,0.5003607567639873,0.496670038440443,0.51,0.565
"mixed_r=1 | dt=-256 | dxyz=(256,0,0) | null",mixed_r=1,past,,-256.0,256.0,-0.16577441449044922,-0.1737261445450299,-0.16949481912463785,-0.1657744144904492,0.4980126328580964,0.49907170484826296,0.59,0.56
"mixed_r=1 | dt=-256 | dxyz=(147.802,147.802,147.802) | spacelike",mixed_r=1,past,spacelike,-256.0,256.0,-0.20989792896837922,-0.2191071570358826,-0.21459596067672174,-0.20989792896837917,0.49769910439890297,0.4988260804202149,0.615,0.51
"mixed_r=2 | dt=-256 | dxyz=(512,0,0) | spacelike",mixed_r=2,past,spacelike,-256.0,512.0,-0.04924497186532144,-0.052896703173076445,-0.05877585251837884,-0.04924497186532146,0.49908666506837873,0.49761992954089707,0.55,0.535
"mixed_r=2 | dt=-256 | dxyz=(295.603,295.603,295.603) | spacelike",mixed_r=2,past,spacelike,-256.0,512.0,-0.04459161736303871,-0.056622835502136544,-0.05425714700213354,-0.04459161736303878,0.4969947673421724,0.497585466476356,0.585,0.53
"mixed_r=0.5 | dt=1024 | dxyz=(512,0,0) | timelike",mixed_r=0.5,future,timelike,1024.0,512.0,-0.20000967412911502,-0.3106336928857869,-0.27817795202310897,-0.20000967412911508,0.4727534604023846,0.480707757250943,0.71,0.6
"mixed_r=0.5 | dt=1024 | dxyz=(295.603,295.603,295.603) | timelike",mixed_r=0.5,future,timelike,1024.0,512.0,-0.25995934384786434,-0.35328332629457904,-0.3616861258653543,-0.2599593438478644,0.47707186711087457,0.4751193530299772,0.66,0.585
"mixed_r=1 | dt=1024 | dxyz=(1024,0,0) | null",mixed_r=1,future,,1024.0,1024.0,-0.07660236091960804,-0.1617571860036005,-0.16699719250955006,-0.07660236091960801,0.4790319835517207,0.4776796451963893,0.62,0.545
"mixed_r=1 | dt=1024 | dxyz=(591.207,591.207,591.207) | spacelike",mixed_r=1,future,spacelike,1024.0,1024.0,-0.10395700512267504,-0.2038747286947825,-0.21286751999156606,-0.10395700512267514,0.4754619618352169,0.47320205402985366,0.67,0.575
"mixed_r=2 | dt=1024 | dxyz=(2048,0,0) | spacelike",mixed_r=2,future,spacelike,1024.0,2048.0,-0.0412865005094065,-0.09520380234887814,-0.1608910403118296,-0.041286500509406424,0.4867327980257605,0.47072151065329515,0.6,0.495
"mixed_r=2 | dt=1024 | dxyz=(1182.41,1182.41,1182.41) | spacelike",mixed_r=2,future,spacelike,1024.0,2048.0,-0.08789201747633595,-0.2740497537025965,-0.25321657958629584,-0.08789201747633596,0.4542645774958107,0.45957248614869756,0.76,0.585
"mixed_r=0.5 | dt=-1024 | dxyz=(512,0,0) | timelike",mixed_r=0.5,past,timelike,-1024.0,512.0,-0.00731783710993245,-0.1023155391912446,-0.07673397338314532,-0.007317837109932459,0.476778476594706,0.48298702456880804,0.65,0.55
"mixed_r=0.5 | dt=-1024 | dxyz=(295.603,295.603,295.603) | timelike",mixed_r=0.5,past,timelike,-1024.0,512.0,-0.10396054595871455,-0.21052254417805075,-0.209686951530073,-0.10396054595871451,0.4737289867903143,0.47403284929345907,0.685,0.565
"mixed_r=1 | dt=-1024 | dxyz=(1024,0,0) | null",mixed_r=1,past,,-1024.0,1024.0,0.12234651482661833,0.03703243656060308,0.012180280818579954,0.12234651482661833,0.47896827380414686,0.47289134159168944,0.65,0.49
"mixed_r=1 | dt=-1024 | dxyz=(591.207,591.207,591.207) | spacelike",mixed_r=1,past,spacelike,-1024.0,1024.0,-0.16811119195209062,-0.2762857912043383,-0.3257564182610369,-0.16811119195209062,0.4734094988144227,0.4613317178890442,0.715,0.58
"mixed_r=2 | dt=-1024 | dxyz=(2048,0,0) | spacelike",mixed_r=2,past,spacelike,-1024.0,2048.0,-0.27787980597759215,-0.3909390588218716,-0.3899916938377413,-0.2778798059775921,0.47243993474335383,0.4728693152541108,0.645,0.595
"mixed_r=2 | dt=-1024 | dxyz=(1182.41,1182.41,1182.41) | spacelike",mixed_r=2,past,spacelike,-1024.0,2048.0,-0.24590075967267958,-0.4056723593930954,-0.43718709029578456,-0.24590075967267958,0.4608161311738501,0.4532463412694373,0.71,0.57
"mixed_r=0.5 | dt=4096 | dxyz=(2048,0,0) | timelike",mixed_r=0.5,future,timelike,4096.0,2048.0,-0.02914819448715281,-3.4858761733192205,-3.7955617002368136,-0.029148194487160602,0.24305965606469915,0.22293682053895303,0.795,0.765
"mixed_r=0.5 | dt=4096 | dxyz=(1182.41,1182.41,1182.41) | timelike",mixed_r=0.5,future,timelike,4096.0,2048.0,-0.27616635707211584,-4.589830847592743,-4.141691006968189,-0.2761663570721266,0.20552938341504032,0.21241249626646913,0.845,0.82
"mixed_r=1 | dt=4096 | dxyz=(4096,0,0) | null",mixed_r=1,future,,4096.0,4096.0,-0.08824469894551193,-4.411398810643233,-3.331052467033268,-0.08824469894551598,0.19944286832641495,0.2614283774307749,0.835,0.84
"mixed_r=1 | dt=4096 | dxyz=(2364.83,2364.83,2364.83) | spacelike",mixed_r=1,future,spacelike,4096.0,4096.0,0.024546570142719003,-3.588117433281899,-3.8327731648755456,0.024546570142711395,0.23192601913299515,0.19253615297987672,0.76,0.775
"mixed_r=2 | dt=4096 | dxyz=(8192,0,0) | spacelike",mixed_r=2,future,spacelike,4096.0,8192.0,0.006741902578213903,-2.820681068557334,-2.9604433311958678,0.006741902578210297,0.27933512551172845,0.2547574016586739,0.77,0.745
"mixed_r=2 | dt=4096 | dxyz=(4729.65,4729.65,4729.65) | spacelike",mixed_r=2,future,spacelike,4096.0,8192.0,-0.16803396764050024,-4.252380457993746,-3.8622051451835615,-0.16803396764051043,0.187232354668089,0.2291331544452441,0.83,0.855
"mixed_r=0.5 | dt=-4096 | dxyz=(2048,0,0) | timelike",mixed_r=0.5,past,timelike,-4096.0,2048.0,-0.2851802934869494,-4.259604280729376,-3.8417428474918736,-0.2851802934869581,0.2091461795951645,0.22594191459448468,0.825,0.82
"mixed_r=0.5 | dt=-4096 | dxyz=(1182.41,1182.41,1182.41) | timelike",mixed_r=0.5,past,timelike,-4096.0,2048.0,-0.008185751970695652,-3.839187378213595,-3.8566102039955905,-0.008185751970701115,0.21100879844661594,0.21689781059364052,0.815,0.78
"mixed_r=1 | dt=-4096 | dxyz=(4096,0,0) | null",mixed_r=1,past,,-4096.0,4096.0,-0.18234844339696196,-4.360858941280609,-3.5932811765779826,-0.18234844339696402,0.1770511123994791,0.2368368201489443,0.855,0.835
"mixed_r=1 | dt=-4096 | dxyz=(2364.83,2364.83,2364.83) | spacelike",mixed_r=1,past,spacelike,-4096.0,4096.0,-0.15029165437010494,-4.1453590600309695,-4.0528922024491365,-0.1502916543701089,0.19217140968164872,0.2040804924457821,0.845,0.83
"mixed_r=2 | dt=-4096 | dxyz=(8192,0,0) | spacelike",mixed_r=2,past,spacelike,-4096.0,8192.0,-0.16198130138480052,-3.6257940900204333,-3.6370046505057174,-0.16198130138481015,0.24850615673776083,0.26849275706368253,0.77,0.75
"mixed_r=2 | dt=-4096 | dxyz=(4729.65,4729.65,4729.65) | spacelike",mixed_r=2,past,spacelike,-4096.0,8192.0,-0.04164034596078547,-4.3096667254693894,-3.6189023313166295,-0.0416403459607934,0.2179280736570114,0.24205444273965895,0.815,0.785
